platform,agency,url,date_sampled,likes
Twitter,FDNY,http://www.twitter.com/FDNY,08/08/2011 12:00:00 AM,11274
Twitter,DOE,http://twitter.com/NYCSchools,08/08/2011 12:00:00 AM,14877
Twitter,DPR,http://twitter.com/NYCParks,08/08/2011 12:00:00 AM,14873
Twitter,NYPD,http://twitter.com/NYPDnews,08/08/2011 12:00:00 AM,14861
Twitter,311,http://www.twitter.com/311NYC,08/08/2011 12:00:00 AM,17956
Twitter,OEM,http://twitter.com/NotifyNYC,08/08/2011 12:00:00 AM,20110
Twitter,NYC & Co,http://twitter.com/nycgo,08/08/2011 12:00:00 AM,38659
Twitter,Mayor's Office,http://www.twitter.com/nycmayorsoffice,08/08/2011 12:00:00 AM,22957
Twitter,Change by Us,www.twitter.com/ChangebyUs_NYC,08/08/2011 12:00:00 AM,
Twitter,DHS,www.twitter.com/nycdhs,08/08/2011 12:00:00 AM,
Twitter,DOF,https://twitter.com/nycfinance,08/08/2011 12:00:00 AM,
Twitter,DOHMH,https://twitter.com/DrFarleyDOHMH,08/08/2011 12:00:00 AM,
Twitter,DSNY,www.twitter.com/nycrecycles,08/08/2011 12:00:00 AM,
Twitter,FDNY,https://twitter.com/joinFDNY,08/08/2011 12:00:00 AM,
Twitter,Materials for the Arts,https://twitter.com/mftanyc,08/08/2011 12:00:00 AM,
Twitter,MOAE,http://twitter.com/youcantoonyc,08/08/2011 12:00:00 AM,
Twitter,NYC Digital,https://twitter.com/nycgob,08/08/2011 12:00:00 AM,
Twitter,NYC Waterfront,http://twitter.com/nycwaterfront,08/08/2011 12:00:00 AM,
Twitter,NYCCFB,http://twitter.com/NYCVotes,08/08/2011 12:00:00 AM,
Twitter,NYCGLOBAL,www.twitter.com/nycglobal,08/08/2011 12:00:00 AM,
Twitter,Prob,www.twitter.com/nycprobation,08/08/2011 12:00:00 AM,
Twitter,Vets,http://twitter.com/NYCVeterans,08/08/2011 12:00:00 AM,
Twitter,DRIS,https://twitter.com/NYCRecords,08/08/2011 12:00:00 AM,
Twitter,YMI,http://www.twitter.com/nycyoungmen,08/08/2011 12:00:00 AM,
Vimeo,DOE,http://vimeo.com/nycschools,08/08/2011 12:00:00 AM,
WordPress,NYCSevereWeather,http://nycsevereweather.wordpress.com/,08/08/2011 12:00:00 AM,50
WordPress,311,http://311nyc.wordpress.com/,08/08/2011 12:00:00 AM,100
WordPress,DOITT,http://nycitymap.wordpress.com/,08/08/2011 12:00:00 AM,100
WordPress,DOITT,http://nycitt.wordpress.com/,08/08/2011 12:00:00 AM,
WordPress,HHS,http://hsdatanyc.wordpress.com/,08/08/2011 12:00:00 AM,
WordPress,HHS,http://hsdata-nyc.org,08/08/2011 12:00:00 AM,
WordPress,LMEC,http://lmew.wordpress.com/,08/08/2011 12:00:00 AM,10
WordPress,Materials for the Arts,http://mfta.wordpress.com/,08/08/2011 12:00:00 AM,
WordPress,MOIA,http://ihwnyc.wordpress.com,08/08/2011 12:00:00 AM,10
WordPress,SBS,http://nycworkforce1partners.wordpress.com/,08/08/2011 12:00:00 AM,
WordPress,SBS,http://workforce1.org,08/08/2011 12:00:00 AM,
WordPress,SimpliCity,http://nycsimplicity.wordpress.com/,08/08/2011 12:00:00 AM,100
YouTube,DOE,http://www.youtube.com/thefundforps,08/08/2011 12:00:00 AM,1
YouTube,DOH,http://www.youtube.com/user/NYCcondoms,08/08/2011 12:00:00 AM,1
YouTube,LMEC,http://www.youtube.com/user/NYCLMEW,08/08/2011 12:00:00 AM,1
YouTube,Probation,http://www.youtube.com/NYCProbation,08/08/2011 12:00:00 AM,6
YouTube,DOITT,http://www.youtube.com/doittnews,08/08/2011 12:00:00 AM,6
YouTube,GreeNYC,http://www.youtube.com/BirdieNYCity,08/08/2011 12:00:00 AM,8
YouTube,HRA,http://www.youtube.com/user/HRANYC,08/08/2011 12:00:00 AM,12
YouTube,NYCHA,http://www.youtube.com/NYCHAHousing,08/08/2011 12:00:00 AM,6
YouTube,HHC,http://www.youtube.com/HHCnyc,08/08/2011 12:00:00 AM,13
YouTube,DOE,http://www.youtube.com/nycschools,08/08/2011 12:00:00 AM,41
YouTube,DYCD,http://www.youtube.com/dycdnyc,08/08/2011 12:00:00 AM,33
YouTube,OEM,http://www.youtube.com/nycoem,08/08/2011 12:00:00 AM,28
YouTube,DOB,http://www.youtube.com/NYCBUILDINGS,08/08/2011 12:00:00 AM,60
YouTube,EDC,http://www.youtube.com/NYCEDC,08/08/2011 12:00:00 AM,69
YouTube,MOME,http://www.youtube.com/nycmedia25,08/08/2011 12:00:00 AM,82
YouTube,DPR,http://www.youtube.com/user/NYCParksDepartment,08/08/2011 12:00:00 AM,163
YouTube,DOT,http://www.youtube.com/NYCDOT,08/08/2011 12:00:00 AM,290
YouTube,Mayor's Office,http://www.youtube.com/mayorbloomberg,08/08/2011 12:00:00 AM,398
YouTube,NYPD,http://www.youtube.com/nypd,08/08/2011 12:00:00 AM,2646
YouTube,DOH,http://www.youtube.com/NYCHealth,08/08/2011 12:00:00 AM,0
YouTube,FDNY,http://www.youtube.com/user/yourFDNY,08/08/2011 12:00:00 AM,0
Youtube,Child Services,http://www.youtube.com/user/childservices,08/08/2011 12:00:00 AM,
YouTube,DCA,http://www.youtube.com/nycdca,08/08/2011 12:00:00 AM,
YouTube,DOC,http://www.youtube.com/user/OFFICIALNYCDOC,08/08/2011 12:00:00 AM,
Youtube,DOH,http://www.youtube.com/user/drinkingsugar,08/08/2011 12:00:00 AM,
YouTube,DSNY,http://www.youtube.com/nycrecyclemore,08/08/2011 12:00:00 AM,
YouTube,Materials for the Arts,http://www.youtube.com/user/MaterialsForTheArts,08/08/2011 12:00:00 AM,
nyc.gov,,2800000,10/04/2011 12:00:00 AM,
Youtube,Mayor's Fund,http://www.youtube.com/mayorsfundnyc,08/08/2011 12:00:00 AM,
